websites,vendor,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Murals, Studio",Ukiyo,Kamakura,AD420,"https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD420-1_Kamakura_Allegiant_install_web.jpg, https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD420-2_Kamakura_Devote_install_web.jpg",Allegiant,Color Way,AD420-1,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD420-1_Kamakura_Allegiant_web.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, Abstract","Green, Pink",Smooth Topeka,,,,135.92,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio, Metallic",Ukiyo,Kamakura,AD420,,Devote,Color Way,AD420-2,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD420-2_Kamakura_Devote_web.jpg,7.50,Square Foot,1,1,"Contemporary, Painterly, Abstract","Blue, Bronze",Silver Spectre,,,,135.92,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Ukiyo,Kamakura,AD420,,Virtue,Color Way,AD420-3,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD420-3_Kamakura_Virtue_web.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, Abstract","Black, Blue, Cream",Smooth Topeka,,,,135.92,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Ukiyo,Kobe,AD421,https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD421-3_Kobe_Poise_Install_web.jpg,Form,Color Way,AD421-1,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD421-1_Kobe_Form_web.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, Abstract","Purple, Blue",Smooth Topeka,,,,167.1,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio, Metallic",Ukiyo,Kobe,AD421,,Grace,Color Way,AD421-2,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD421-2_Kobe_Grace_web.jpg,7.50,Square Foot,1,1,"Contemporary, Painterly, Abstract","Neutral, ",Silver Spectre,,,,167.1,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Ukiyo,Kobe,AD421,,Poise,Color Way,AD421-3,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD421-3_Kobe_Poise_web.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, Abstract","Blue, Beige",Smooth Topeka,,,,167.1,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Ukiyo,Kyoto,AD422,https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD422-2_Kyoto_Honor_install_web.jpg,Bow,Color Way,AD422-1,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD422-1_Kyoto_Bow_web.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, Abstract","Blue, Green",Smooth Topeka,,,,139.76,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio, Metallic",Ukiyo,Kyoto,AD422,,Honor,Color Way,AD422-2,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD422-2_Kyoto_Honor_web.jpg,7.50,Square Foot,1,1,"Contemporary, Painterly, Abstract","Brown, Bronze, Silver",Silver Spectre,,,,139.76,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio, Metallic",Ukiyo,Kyoto,AD422,,Tribute,Color Way,AD422-3,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD422-3_Kyoto_Tribute_web.jpg,7.50,Square Foot,1,1,"Contemporary, Painterly, Abstract","Green, Gold, White",Silver Spectre,,,,139.76,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Murals, Studio",Ukiyo,Miyazaki,AD423,"https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD423-2_Miyazaki_Pure_Install_web.jpg, https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD423-3_Miyazaki_True_install_web.jpg",Loyal,Color Way,AD423-1,Item is printed as a mural. Can be repeated if necessary ,"marbling, suminagashi, ink, japanese, abstract, watercolor, handmade",https://s3-us-west-2.amazonaws.com/astek-product-images/Ukiyo/AD423-1_Miyazaki_Loyal_web.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, Abstract","Beige, Brown, ",Smooth Topeka,,,,150.5,108,,,,,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
